,City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed,Country,Date
0,port alfred,-33.59,26.89,57.99,90.0,70.0,6.89,ZA,1592234781.0
1,avarua,-21.21,-159.78,69.8,73.0,75.0,13.87,CK,1592234956.0
2,busselton,-33.65,115.33,56.19,73.0,99.0,5.37,AU,1592234956.0
3,blagoyevo,63.37,47.92,74.89,46.0,91.0,7.0,RU,1592234956.0
5,eisenberg,50.97,11.9,71.65,79.0,100.0,1.99,DE,1592234956.0
6,severodvinsk,64.56,39.83,78.8,39.0,20.0,8.95,RU,1592234800.0
7,mataura,-46.19,168.86,43.23,90.0,0.0,3.4,NZ,1592234780.0
8,skibbereen,51.55,-9.27,64.4,72.0,40.0,5.82,IE,1592234956.0
9,kodiak,57.79,-152.41,46.4,81.0,1.0,4.7,US,1592234940.0
10,alexandria,31.22,29.96,80.6,51.0,0.0,9.17,EG,1592234957.0
11,khatanga,71.97,102.5,47.19,74.0,100.0,21.72,RU,1592234957.0
12,bluff,-46.6,168.33,49.84,89.0,0.0,8.79,NZ,1592234957.0
14,east london,-33.02,27.91,60.8,72.0,20.0,11.41,ZA,1592234777.0
15,henties bay,-22.12,14.28,70.0,53.0,0.0,7.0,NA,1592234957.0
16,rikitea,-23.12,-134.97,75.56,85.0,49.0,13.02,PF,1592234957.0
17,jamestown,42.1,-79.24,63.19,55.0,90.0,3.36,US,1592234957.0
18,hualmay,-11.1,-77.61,67.71,68.0,95.0,8.1,PE,1592234957.0
19,hamilton,39.18,-84.53,68.02,64.0,40.0,6.29,US,1592234836.0
20,mar del plata,-38.0,-57.56,53.24,57.0,34.0,11.41,AR,1592234817.0
21,ushuaia,-54.8,-68.3,39.2,80.0,75.0,4.7,AR,1592234958.0
22,tuktoyaktuk,69.45,-133.04,55.4,54.0,40.0,8.05,CA,1592234958.0
23,pingzhuang,42.04,119.29,70.77,27.0,0.0,2.3,CN,1592234958.0
24,sakaiminato,35.55,133.23,69.8,68.0,20.0,8.05,JP,1592234958.0
25,samana,19.21,-69.34,86.0,79.0,20.0,9.17,DO,1592234958.0
26,hermanus,-34.42,19.23,60.01,78.0,72.0,1.99,ZA,1592234958.0
27,jumla,29.27,82.18,60.93,72.0,21.0,2.15,NP,1592234959.0
28,port elizabeth,-33.92,25.57,59.0,87.0,16.0,10.29,ZA,1592234794.0
29,norman wells,65.28,-126.83,59.0,41.0,75.0,13.87,CA,1592234959.0
30,atuona,-9.8,-139.03,80.1,72.0,71.0,11.88,PF,1592234959.0
31,zhigansk,66.77,123.37,56.66,59.0,81.0,19.64,RU,1592234959.0
32,dharchula,29.85,80.53,70.29,66.0,43.0,3.53,IN,1592234959.0
33,cape town,-33.93,18.42,60.73,63.0,20.0,5.82,ZA,1592234928.0
34,ancud,-41.87,-73.82,44.22,100.0,20.0,6.93,CL,1592234775.0
35,barrow,71.29,-156.79,35.6,80.0,1.0,11.41,US,1592234791.0
36,muros,42.78,-9.06,64.99,73.0,100.0,13.0,ES,1592234960.0
37,lompoc,34.64,-120.46,56.57,93.0,0.0,4.81,US,1592234960.0
38,leova,46.48,28.26,76.96,59.0,59.0,6.85,MD,1592234960.0
39,vaini,-21.2,-175.2,69.8,73.0,20.0,12.75,TO,1592234960.0
40,codrington,-38.27,141.97,52.7,89.0,100.0,12.82,AU,1592234960.0
41,hobart,-42.88,147.33,54.28,50.0,40.0,18.34,AU,1592234893.0
42,fare,-16.7,-151.02,80.67,81.0,72.0,15.84,PF,1592234960.0
43,formosa,-26.18,-58.18,75.2,60.0,0.0,10.29,AR,1592234761.0
44,westport,41.14,-73.36,66.16,68.0,1.0,6.93,US,1592234960.0
45,eslamshahr,35.56,51.23,94.3,10.0,20.0,25.28,IR,1592234961.0
47,lebu,-37.62,-73.65,52.86,79.0,100.0,24.52,CL,1592234791.0
48,fayaoue,-20.65,166.53,73.62,77.0,26.0,21.81,NC,1592234961.0
