,City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed,Country,Date
0,chicama,-7.84,-79.15,64.02,80.0,26.0,8.14,PE,1592014748.0
1,tumut,-35.3,148.22,59.4,71.0,100.0,4.94,AU,1592014748.0
3,mahebourg,-20.41,57.7,71.6,88.0,75.0,10.29,MU,1592014311.0
4,lagoa,39.05,-27.98,64.33,87.0,100.0,16.2,PT,1592014346.0
5,cape town,-33.93,18.42,50.65,87.0,40.0,13.87,ZA,1592014012.0
6,busselton,-33.65,115.33,57.47,79.0,78.0,14.07,AU,1592014275.0
7,hermanus,-34.42,19.23,53.01,79.0,12.0,3.0,ZA,1592014275.0
8,suntar,62.14,117.63,56.37,78.0,72.0,9.93,RU,1592014749.0
9,pevek,69.7,170.31,46.58,74.0,92.0,5.86,RU,1592014286.0
10,santiago del estero,-27.8,-64.26,68.16,41.0,78.0,16.67,AR,1592014749.0
11,butaritari,3.07,172.79,82.33,77.0,8.0,13.18,KI,1592014289.0
12,mossendjo,-2.95,12.73,64.83,99.0,16.0,1.59,CG,1592014749.0
13,hokitika,-42.72,170.97,52.74,58.0,0.0,3.31,NZ,1592014749.0
14,kailua,21.4,-157.74,82.22,51.0,40.0,16.11,US,1592014749.0
15,ribeira grande,38.52,-28.7,64.49,87.0,100.0,9.95,PT,1592014321.0
17,bluff,-46.6,168.33,48.99,75.0,16.0,4.0,NZ,1592014281.0
19,mataura,-46.19,168.86,48.99,75.0,0.0,4.0,NZ,1592014273.0
20,castro,-24.79,-50.01,60.84,95.0,2.0,3.74,BR,1592014293.0
21,puerto ayora,-0.74,-90.35,73.0,90.0,91.0,7.0,EC,1592014279.0
22,ilhabela,-23.78,-45.36,75.2,69.0,98.0,2.93,BR,1592014750.0
23,yellowknife,62.46,-114.35,65.53,48.0,20.0,10.29,CA,1592014295.0
24,dali,25.7,100.18,72.63,62.0,64.0,4.05,CN,1592014750.0
26,hualmay,-11.1,-77.61,62.04,82.0,12.0,9.71,PE,1592014335.0
27,bambous virieux,-20.34,57.76,71.33,88.0,75.0,10.29,MU,1592014287.0
28,punta arenas,-53.15,-70.92,32.86,69.0,56.0,14.99,CL,1592014066.0
29,ushuaia,-54.8,-68.3,33.8,86.0,90.0,25.28,AR,1592014192.0
30,avarua,-21.21,-159.78,75.2,64.0,84.0,6.93,CK,1592014091.0
31,kavieng,-2.57,150.8,85.77,73.0,11.0,13.02,PG,1592014751.0
32,hilo,19.73,-155.09,77.72,54.0,40.0,12.75,US,1592014282.0
33,pirgos,35.12,25.72,66.99,58.0,0.0,4.0,GR,1592014751.0
34,talnakh,69.49,88.4,46.4,53.0,0.0,13.42,RU,1592014751.0
35,albany,42.6,-73.97,62.33,44.0,0.0,4.0,US,1592014274.0
36,barrow,71.29,-156.79,41.0,75.0,75.0,3.36,US,1592014277.0
37,saint-philippe,-21.36,55.77,60.26,55.0,75.0,5.82,RE,1592014281.0
38,tukrah,32.53,20.58,68.38,66.0,0.0,8.5,LY,1592014752.0
39,tiksi,71.69,128.87,45.72,69.0,6.0,4.12,RU,1592014299.0
40,moose factory,51.26,-80.61,37.4,86.0,1.0,5.82,CA,1592014752.0
41,nanortalik,60.14,-45.24,41.9,86.0,100.0,12.24,GL,1592014752.0
42,jamestown,42.1,-79.24,53.83,66.0,1.0,3.36,US,1592014195.0
43,nishihara,26.18,127.76,86.4,74.0,40.0,12.75,JP,1592014317.0
44,severo-kurilsk,50.68,156.12,42.31,92.0,100.0,24.23,RU,1592014332.0
45,kingsville,27.52,-97.86,76.8,69.0,1.0,5.82,US,1592014753.0
46,rikitea,-23.12,-134.97,75.94,78.0,45.0,18.7,PF,1592014276.0
47,manokwari,-0.87,134.08,84.27,69.0,100.0,5.93,ID,1592014568.0
48,cartagena del chaira,1.33,-74.84,73.15,93.0,4.0,0.83,CO,1592014753.0
49,bull savanna,17.89,-77.59,76.24,84.0,100.0,4.25,JM,1592014753.0
50,borogontsy,62.67,131.17,69.98,41.0,69.0,9.51,RU,1592014753.0
51,arraial do cabo,-22.97,-42.03,75.02,84.0,53.0,9.4,BR,1592014145.0
52,yarim,14.3,44.38,61.38,54.0,42.0,2.8,YE,1592014754.0
54,caucaia,-3.74,-38.65,76.5,88.0,75.0,3.36,BR,1592014085.0
55,walvis bay,-22.96,14.51,69.4,18.0,0.0,26.4,NA,1592014754.0
56,saint george,37.1,-113.58,93.96,7.0,1.0,24.16,US,1592014219.0
57,port alfred,-33.59,26.89,55.99,58.0,3.0,5.99,ZA,1592014284.0
58,livezeni,46.55,24.63,64.17,93.0,100.0,3.36,RO,1592014754.0
59,kodiak,57.79,-152.41,60.8,51.0,1.0,9.17,US,1592014274.0
60,paraiso,9.84,-83.87,68.34,100.0,75.0,4.7,CR,1592014754.0
63,upernavik,72.79,-56.15,31.66,96.0,0.0,12.88,GL,1592014276.0
64,lebu,-37.62,-73.65,46.54,79.0,100.0,4.74,CL,1592014284.0
65,petropavl,54.88,69.16,66.2,77.0,100.0,4.47,KZ,1592014594.0
66,pangnirtung,66.15,-65.71,33.03,88.0,8.0,0.69,CA,1592014755.0
68,atuona,-9.8,-139.03,80.58,80.0,7.0,20.94,PF,1592014287.0
69,inuvik,68.35,-133.72,77.0,23.0,40.0,3.36,CA,1592014708.0
70,victoria,22.29,114.16,84.74,84.0,17.0,14.0,HK,1592014048.0
71,yar-sale,66.83,70.83,47.21,54.0,0.0,17.81,RU,1592014281.0
72,lata,40.16,-8.33,56.01,95.0,54.0,2.57,PT,1592014756.0
73,san vicente de canete,-13.08,-76.38,63.77,80.0,4.0,2.84,PE,1592014756.0
74,basco,20.45,121.97,84.49,79.0,3.0,24.83,PH,1592014756.0
75,rocha,-34.48,-54.33,58.78,90.0,82.0,9.19,UY,1592014756.0
76,clyde river,70.47,-68.59,30.2,100.0,90.0,5.82,CA,1592014304.0
77,geraldton,-28.77,114.6,59.0,67.0,41.0,10.29,AU,1592014335.0
78,torbay,47.67,-52.73,55.58,87.0,90.0,5.82,CA,1592014280.0
79,porto san giorgio,43.18,13.79,60.19,82.0,0.0,3.36,IT,1592014757.0
82,quatre cocos,-20.21,57.76,71.29,88.0,75.0,10.29,MU,1592014345.0
84,nelspruit,-25.47,30.97,39.2,69.0,0.0,1.12,ZA,1592014757.0
85,meadow lake,34.8,-106.54,70.07,36.0,40.0,24.16,US,1592014561.0
86,taltal,-25.4,-70.48,61.48,61.0,0.0,5.59,CL,1592014318.0
87,chokurdakh,70.63,147.92,66.22,45.0,22.0,3.91,RU,1592014286.0
88,ilulissat,69.22,-51.1,39.2,60.0,0.0,14.99,GL,1592014288.0
89,pimenta bueno,-11.67,-61.19,72.25,91.0,0.0,2.15,BR,1592014758.0
90,narsaq,60.92,-46.05,41.0,86.0,100.0,1.12,GL,1592014292.0
92,boo,59.33,18.28,53.01,71.0,23.0,5.82,SE,1592014758.0
93,avera,33.19,-82.53,76.33,83.0,1.0,5.82,US,1592014289.0
94,cananea,30.95,-110.3,86.7,18.0,17.0,5.01,MX,1592014647.0
95,aklavik,68.22,-135.01,77.0,23.0,40.0,3.36,CA,1592014758.0
96,zaranj,30.97,61.88,78.8,29.0,0.0,11.41,AF,1592014758.0
97,beauceville,46.22,-70.78,55.99,56.0,8.0,5.1,CA,1592014758.0
98,chimoio,-19.12,33.48,56.5,94.0,94.0,12.39,MZ,1592014759.0
100,broken hill,-31.95,141.43,66.2,39.0,99.0,17.22,AU,1592014338.0
101,hambantota,6.12,81.12,78.8,100.0,20.0,5.82,LK,1592014759.0
102,cockburn town,21.46,-71.14,80.92,79.0,100.0,12.41,TC,1592014340.0
103,ambovombe,-25.17,46.08,61.68,80.0,0.0,5.12,MG,1592014759.0
105,praia,14.92,-23.51,75.2,88.0,10.0,9.17,CV,1592014759.0
106,alofi,-19.06,-169.92,77.0,65.0,74.0,18.34,NU,1592014350.0
107,camargo,27.67,-105.17,83.55,19.0,23.0,17.49,MX,1592014629.0
108,hithadhoo,-0.6,73.08,83.41,76.0,90.0,15.23,MV,1592014274.0
109,fare,-16.7,-151.02,81.59,77.0,0.0,9.06,PF,1592014760.0
110,port blair,11.67,92.75,83.79,82.0,100.0,10.67,IN,1592014308.0
111,sarab,38.61,44.99,63.34,53.0,0.0,0.58,IR,1592014760.0
112,ossora,59.24,163.07,54.91,52.0,100.0,13.35,RU,1592014760.0
113,nikolskoye,59.7,30.79,53.22,62.0,0.0,4.68,RU,1592014297.0
114,orlik,52.52,99.83,58.5,45.0,15.0,2.57,RU,1592014760.0
115,urumqi,43.8,87.6,77.0,20.0,97.0,4.47,CN,1592014613.0
116,segou,13.43,-6.22,90.63,35.0,32.0,11.74,ML,1592014760.0
117,bredasdorp,-34.53,20.04,53.6,76.0,70.0,7.63,ZA,1592014027.0
118,dikson,73.51,80.55,32.97,95.0,0.0,9.1,RU,1592014282.0
119,erzin,36.96,36.2,70.0,84.0,4.0,6.46,TR,1592014307.0
120,buala,-8.14,159.59,86.14,68.0,54.0,4.85,SB,1592014761.0
121,carnarvon,-24.87,113.63,63.48,57.0,57.0,21.99,AU,1592014286.0
122,la ronge,55.1,-105.28,66.2,42.0,40.0,13.87,CA,1592014277.0
